id,metro
1,"Abilene, TX"
2,"Akron, OH"
3,"Albany, GA"
4,"Albany, OR"
5,"Albany-Schenectady-Troy, NY"
6,"Albuquerque, NM"
7,"Alexandria, LA"
8,"Allentown-Bethlehem-Easton, PA-NJ"
9,"Altoona, PA"
10,"Amarillo, TX"
11,"Ames, IA"
12,"Anchorage, AK"
13,"Ann Arbor, MI"
14,"Anniston-Oxford-Jacksonville, AL"
15,"Appleton, WI"
16,"Asheville, NC"
17,"Athens-Clarke County, GA"
18,"Atlanta-Sandy Springs-Roswell, GA"
19,"Atlantic City-Hammonton, NJ"
20,"Auburn-Opelika, AL"
21,"Augusta-Richmond County, GA-SC"
22,"Austin-Round Rock, TX"
23,"Bakersfield, CA"
24,"Baltimore-Columbia-Towson, MD"
25,"Bangor, ME"
26,"Barnstable Town, MA"
27,"Baton Rouge, LA"
28,"Battle Creek, MI"
29,"Bay City, MI"
30,"Beaumont-Port Arthur, TX"
31,"Beckley, WV"
32,"Bellingham, WA"
33,"Bend-Redmond, OR"
34,"Billings, MT"
35,"Binghamton, NY"
36,"Birmingham-Hoover, AL"
37,"Bismarck, ND"
38,"Blacksburg-Christiansburg-Radford, VA"
39,"Bloomington, IL"
40,"Bloomington, IN"
41,"Bloomsburg-Berwick, PA"
42,"Boise City, ID"
43,"Boston-Cambridge-Newton, MA-NH"
44,"Boulder, CO"
45,"Bowling Green, KY"
46,"Bremerton-Silverdale, WA"
47,"Bridgeport-Stamford-Norwalk, CT"
48,"Brownsville-Harlingen, TX"
49,"Brunswick, GA"
50,"Buffalo-Cheektowaga-Niagara Falls, NY"
51,"Burlington, NC"
52,"Burlington-South Burlington, VT"
53,"California-Lexington Park, MD"
54,"Canton-Massillon, OH"
55,"Cape Coral-Fort Myers, FL"
56,"Cape Girardeau, MO-IL"
57,"Carbondale-Marion, IL"
58,"Carson City, NV"
59,"Casper, WY"
60,"Cedar Rapids, IA"
61,"Chambersburg-Waynesboro, PA"
62,"Champaign-Urbana, IL"
63,"Charleston, WV"
64,"Charleston-North Charleston, SC"
65,"Charlotte-Concord-Gastonia, NC-SC"
66,"Charlottesville, VA"
67,"Chattanooga, TN-GA"
68,"Cheyenne, WY"
69,"Chicago-Naperville-Elgin, IL-IN-WI"
70,"Chico, CA"
71,"Cincinnati, OH-KY-IN"
72,"Clarksville, TN-KY"
73,"Cleveland, TN"
74,"Cleveland-Elyria, OH"
75,"Coeur d'Alene, ID"
76,"College Station-Bryan, TX"
77,"Colorado Springs, CO"
78,"Columbia, MO"
79,"Columbia, SC"
80,"Columbus, GA-AL"
81,"Columbus, IN"
82,"Columbus, OH"
83,"Corpus Christi, TX"
84,"Corvallis, OR"
85,"Crestview-Fort Walton Beach-Destin, FL"
86,"Cumberland, MD-WV"
87,"Dallas-Fort Worth-Arlington, TX"
88,"Dalton, GA"
89,"Danville, IL"
90,"Daphne-Fairhope-Foley, AL"
91,"Davenport-Moline-Rock Island, IA-IL"
92,"Dayton, OH"
93,"Decatur, AL"
94,"Decatur, IL"
95,"Deltona-Daytona Beach-Ormond Beach, FL"
96,"Denver-Aurora-Lakewood, CO"
97,"Des Moines-West Des Moines, IA"
98,"Detroit-Warren-Dearborn, MI"
99,"Dothan, AL"
100,"Dover, DE"
101,"Dubuque, IA"
102,"Duluth, MN-WI"
103,"Durham-Chapel Hill, NC"
104,"East Stroudsburg, PA"
105,"Eau Claire, WI"
106,"El Centro, CA"
107,"Elizabethtown-Fort Knox, KY"
108,"Elkhart-Goshen, IN"
109,"Elmira, NY"
110,"El Paso, TX"
111,"Erie, PA"
112,"Eugene, OR"
113,"Evansville, IN-KY"
114,"Fairbanks, AK"
115,"Fargo, ND-MN"
116,"Farmington, NM"
117,"Fayetteville, NC"
118,"Fayetteville-Springdale-Rogers, AR-MO"
119,"Flagstaff, AZ"
120,"Flint, MI"
121,"Florence, SC"
122,"Florence-Muscle Shoals, AL"
123,"Fond du Lac, WI"
124,"Fort Collins, CO"
125,"Fort Smith, AR-OK"
126,"Fort Wayne, IN"
127,"Fresno, CA"
128,"Gadsden, AL"
129,"Gainesville, FL"
130,"Gainesville, GA"
131,"Gettysburg, PA"
132,"Glens Falls, NY"
133,"Goldsboro, NC"
134,"Grand Forks, ND-MN"
135,"Grand Island, NE"
136,"Grand Junction, CO"
137,"Grand Rapids-Wyoming, MI"
138,"Grants Pass, OR"
139,"Great Falls, MT"
140,"Greeley, CO"
141,"Green Bay, WI"
142,"Greensboro-High Point, NC"
143,"Greenville, NC"
144,"Greenville-Anderson-Mauldin, SC"
145,"Gulfport-Biloxi-Pascagoula, MS"
146,"Hagerstown-Martinsburg, MD-WV"
147,"Hammond, LA"
148,"Hanford-Corcoran, CA"
149,"Harrisburg-Carlisle, PA"
150,"Harrisonburg, VA"
151,"Hartford-West Hartford-East Hartford, CT"
152,"Hattiesburg, MS"
153,"Hickory-Lenoir-Morganton, NC"
154,"Hilton Head Island-Bluffton-Beaufort, SC"
155,"Hinesville, GA"
156,"Homosassa Springs, FL"
157,"Hot Springs, AR"
158,"Houma-Thibodaux, LA"
159,"Houston-The Woodlands-Sugar Land, TX"
160,"Huntington-Ashland, WV-KY-OH"
161,"Huntsville, AL"
162,"Idaho Falls, ID"
163,"Indianapolis-Carmel-Anderson, IN"
164,"Iowa City, IA"
165,"Ithaca, NY"
166,"Jackson, MI"
167,"Jackson, MS"
168,"Jackson, TN"
169,"Jacksonville, FL"
170,"Jacksonville, NC"
171,"Janesville-Beloit, WI"
172,"Jefferson City, MO"
173,"Johnson City, TN"
174,"Johnstown, PA"
175,"Jonesboro, AR"
176,"Joplin, MO"
177,"Kahului-Wailuku-Lahaina, HI"
178,"Kalamazoo-Portage, MI"
179,"Kankakee, IL"
180,"Kansas City, MO-KS"
181,"Kennewick-Richland, WA"
182,"Killeen-Temple, TX"
183,"Kingsport-Bristol-Bristol, TN-VA"
184,"Kingston, NY"
185,"Knoxville, TN"
186,"Kokomo, IN"
187,"La Crosse-Onalaska, WI-MN"
188,"Lafayette, LA"
189,"Lafayette-West Lafayette, IN"
190,"Lake Charles, LA"
191,"Lake Havasu City-Kingman, AZ"
192,"Lakeland-Winter Haven, FL"
193,"Lancaster, PA"
194,"Lansing-East Lansing, MI"
195,"Laredo, TX"
196,"Las Cruces, NM"
197,"Las Vegas-Henderson-Paradise, NV"
198,"Lawrence, KS"
199,"Lawton, OK"
200,"Lebanon, PA"
201,"Lewiston, ID-WA"
202,"Lewiston-Auburn, ME"
203,"Lexington-Fayette, KY"
204,"Lima, OH"
205,"Lincoln, NE"
206,"Little Rock-North Little Rock-Conway, AR"
207,"Logan, UT-ID"
208,"Longview, TX"
209,"Longview, WA"
210,"Los Angeles-Long Beach-Anaheim, CA"
211,"Louisville/Jefferson County, KY-IN"
212,"Lubbock, TX"
213,"Lynchburg, VA"
214,"Macon, GA"
215,"Madera, CA"
216,"Madison, WI"
217,"Manchester-Nashua, NH"
218,"Manhattan, KS"
219,"Mankato-North Mankato, MN"
220,"Mansfield, OH"
221,"McAllen-Edinburg-Mission, TX"
222,"Medford, OR"
223,"Memphis, TN-MS-AR"
224,"Merced, CA"
225,"Miami-Fort Lauderdale-West Palm Beach, FL"
226,"Michigan City-La Porte, IN"
227,"Midland, MI"
228,"Midland, TX"
229,"Milwaukee-Waukesha-West Allis, WI"
230,"Minneapolis-St. Paul-Bloomington, MN-WI"
231,"Missoula, MT"
232,"Mobile, AL"
233,"Modesto, CA"
234,"Monroe, LA"
235,"Monroe, MI"
236,"Montgomery, AL"
237,"Morgantown, WV"
238,"Morristown, TN"
239,"Mount Vernon-Anacortes, WA"
240,"Muncie, IN"
241,"Muskegon, MI"
242,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
243,"Napa, CA"
244,"Naples-Immokalee-Marco Island, FL"
245,"Nashville-Davidson--Murfreesboro--Franklin, TN"
246,"New Bern, NC"
247,"New Haven-Milford, CT"
248,"New Orleans-Metairie, LA"
249,"New York-Newark-Jersey City, NY-NJ-PA"
250,"Niles-Benton Harbor, MI"
251,"North Port-Sarasota-Bradenton, FL"
252,"Norwich-New London, CT"
253,"Ocala, FL"
254,"Ocean City, NJ"
255,"Odessa, TX"
256,"Ogden-Clearfield, UT"
257,"Oklahoma City, OK"
258,"Olympia-Tumwater, WA"
259,"Omaha-Council Bluffs, NE-IA"
260,"Orlando-Kissimmee-Sanford, FL"
261,"Oshkosh-Neenah, WI"
262,"Owensboro, KY"
263,"Oxnard-Thousand Oaks-Ventura, CA"
264,"Palm Bay-Melbourne-Titusville, FL"
265,"Panama City, FL"
266,"Parkersburg-Vienna, WV"
267,"Pensacola-Ferry Pass-Brent, FL"
268,"Peoria, IL"
269,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
270,"Phoenix-Mesa-Scottsdale, AZ"
271,"Pine Bluff, AR"
272,"Pittsburgh, PA"
273,"Pittsfield, MA"
274,"Pocatello, ID"
275,"Portland-South Portland, ME"
276,"Portland-Vancouver-Hillsboro, OR-WA"
277,"Port St. Lucie, FL"
278,"Prescott, AZ"
279,"Providence-Warwick, RI-MA"
280,"Provo-Orem, UT"
281,"Pueblo, CO"
282,"Punta Gorda, FL"
283,"Racine, WI"
284,"Raleigh, NC"
285,"Rapid City, SD"
286,"Reading, PA"
287,"Redding, CA"
288,"Reno, NV"
289,"Richmond, VA"
290,"Riverside-San Bernardino-Ontario, CA"
291,"Roanoke, VA"
292,"Rochester, MN"
293,"Rochester, NY"
294,"Rockford, IL"
295,"Rocky Mount, NC"
296,"Rome, GA"
297,"Sacramento--Roseville--Arden-Arcade, CA"
298,"Saginaw, MI"
299,"St. Cloud, MN"
300,"St. George, UT"
301,"St. Joseph, MO-KS"
302,"St. Louis, MO-IL"
303,"Salem, OR"
304,"Salinas, CA"
305,"Salisbury, MD-DE"
306,"Salt Lake City, UT"
307,"San Angelo, TX"
308,"San Antonio-New Braunfels, TX"
309,"San Diego-Carlsbad, CA"
310,"San Francisco-Oakland-Hayward, CA"
311,"San Jose-Sunnyvale-Santa Clara, CA"
312,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
313,"Santa Cruz-Watsonville, CA"
314,"Santa Fe, NM"
315,"Santa Maria-Santa Barbara, CA"
316,"Santa Rosa, CA"
317,"Savannah, GA"
318,"Scranton--Wilkes-Barre--Hazleton, PA"
319,"Seattle-Tacoma-Bellevue, WA"
